pangenome_id,dram_genome_id,environment,environment_2,genus,species,genus_spp
GCF_000379545v1_aceti_prokka,GCF_000379545v1_aceti_prokka,Fermented beverage,Other,Acetobacter,aceti,Acetobacter aceti
SRR10454517C1506_cerevisiae_prokka,SRR10454517C1506_annotated,Sourdough,Sourdough,Acetobacter,cerevisiae,Acetobacter cerevisiae
GCF_002153775v1_cibinongensis_prokka,GCF_002153775v1_cibinongensis,Fruit fly,Other,Acetobacter,cibinongensis,Acetobacter cibinongensis
G_338_fabarum_prokka,338_1B_extracted_annotated,Sourdough,Sourdough,Acetobacter,fabarum,Acetobacter fabarum
G_97_1A_fabarum_prokka,97_1A_bin2_prokka_annotated,Sourdough,Sourdough,Acetobacter,fabarum,Acetobacter fabarum
GCF_011516735v1_fallax_prokka,GCF_011516735v1_fallax_prokka,Fermented beverage,Other,Acetobacter,fallax,Acetobacter fallax
GCF_011516935v1_farinalis_prokka,GCF_011516935v1_farinalis_prokka,Other,Other,Acetobacter,farinalis,Acetobacter farinalis
G_154_1A_ghanensis_prokka,154_1A_bin2_annotated,Sourdough,Sourdough,Acetobacter,ghanensis,Acetobacter ghanensis
SRR10454486C2703_ghanensis_prokka,SRR10454486C2703_,Sourdough,Sourdough,Acetobacter,ghanensis,Acetobacter ghanensis 
GCF_011516875v1_lovaniensis_prokka,GCF_011516875v1_lovaniensis_prokka,Other,Other,Acetobacter,lovaniensis,Acetobacter lovaniensis
G_272_1B_malorum_prokka,G_272_1B_prokka_annotated,Sourdough,Sourdough,Acetobacter,malorum,Acetobacter malorum
GCF_001580615v1_malorum_prokka,GCF_001580615v1_malorum,Fruit,Other,Acetobacter,malorum,Acetobacter malorum
GCF_001580695v1_malorum_prokka,GCF_001580695_malorum_prokka,Other,Other,Acetobacter,malorum,Acetobacter malorum
GCF_001581035v1_malorum_prokka,GCF_001581035v1_malorum,Fermented beverage,Other,Acetobacter,malorum,Acetobacter malorum
GCF_001581085v1_malorum_prokka,GCF_001581085v1_malorum_prokka,Fermented beverage,Other,Acetobacter,malorum,Acetobacter malorum
SRR10454509C293_malorum_prokka,SRR10454509C293_annotated,Sourdough,Sourdough,Acetobacter,malorum,Acetobacter malorum
G_35_1B_malorum_prokka,35_malorum_annotated,Sourdough,Sourdough,Acetobacter,malorum,Acetobacter malorum
G_490_1A_malorum_prokka,490_acetobacter_malorum_prokka,Sourdough,Sourdough,Acetobacter,malorum,Acetobacter malorum
G_507_1A_malorum_prokka,507_malorum_annotated,Sourdough,Sourdough,Acetobacter,malorum,Acetobacter malorum
GCF_007991375v1_nitrogenifigens_prokka,GCF_007991375v1_nitrogenifigens_prokka,Fermented beverage,Other,Acetobacter,nitrogenifigens,Acetobacter nitrogenifigens
GCF_007991395v1_oeni_prokka,GCF_007991395v1_oeni_pro,Fermented beverage,Other,Acetobacter,oeni,Acetobacter oeni
SRR10454516C127_okinawensis_prokka,SRR10454516C127_annotated,Sourdough,Sourdough,Acetobacter,okinawensis,Acetobacter okinawensis
G_514_1B_orientalis_prokka,514_orientalis_prokka,Sourdough,Sourdough,Acetobacter,orientalis,Acetobacter orientalis
GCF_002153475v1_orientalis_prokka,GCF_002153475v1_orientalis,Fruit fly,Other,Acetobacter,orientalis,Acetobacter orientalis
GCF_002153685v1_orientalis_prokka,GCF_002153685v1_orientalis,Fruit fly,Other,Acetobacter,orientalis,Acetobacter orientalis
GCF_002153735v1_orientalis_prokka,GCF_002153735v1_orientalis,Fruit fly,Other,Acetobacter,orientalis,Acetobacter orientalis
GCF_002409655v1_orientalis_prokka,GCF_002409655v1_orientalis,Other,Other,Acetobacter,orientalis,Acetobacter orientalis
GCF_007989335v1_orientalis_prokka,GCF_007989335v1_orientalis_prokka,Other,Other,Acetobacter,orientalis,Acetobacter orientalis
GCF_024158385v1_orientalis_prokka,GCF_024158385v1_orientalis,Fruit,Other,Acetobacter,orientalis,Acetobacter orientalis
GCF_024158475v1_orientalis_prokka,GCF_024158475v1_orientalis,Fermented beverage,Other,Acetobacter,orientalis,Acetobacter orientalis
GCF_024158505v1_orientalis_prokka,GCF_024158505v1_orientalis,Fermented beverage,Other,Acetobacter,orientalis,Acetobacter orientalis
GCF_006539325v1_orleanensis_prokka,GCF_006539325v1_orleanensis_prokka,Fermented beverage,Other,Acetobacter,orleanensis,Acetobacter orleanensis
G_011_1B_oryzi_prokka,011_oryzifermentans_annotated,Sourdough,Sourdough,Acetobacter,oryzifermentans,Acetobacter oryzifermentans
G_199_1A_oryzi_prokka,G_199_1A_oryzi_prokka,Sourdough,Sourdough,Acetobacter,oryzifermentans,Acetobacter oryzifermentans
G_24_1A_oryzi_prokka,G_24_1A_oryzi_prokka,Sourdough,Sourdough,Acetobacter,oryzifermentans,Acetobacter oryzifermentans
G_398_1B_oryzi_prokka,G_398_1B_oryzi_prokka,Sourdough,Sourdough,Acetobacter,oryzifermentans,Acetobacter oryzifermentans
SRR10454513_mb_1_oryzi_prokka,SRR10454513,Sourdough,Sourdough,Acetobacter,oryzifermentans,Acetobacter oryzifermentans
G_65_1_oryzoeni_prokka,G65_1_oryzoeni_prokka,Sourdough,Sourdough,Acetobacter,oryzoeni,Acetobacter oryzoeni
G_497_1B_pasteur_prokka,497_bin1_annotated,Sourdough,Sourdough,Acetobacter,pasteurianus,Acetobacter pasteurianus
G_125_1B_pasteur_prokka,G_125_1B_pasteur_prokka,Sourdough,Sourdough,Acetobacter,pasteurianus,Acetobacter pasteurianus
GCF_014132135v1_percisi_prokka,GCF_014132135v1_percisi,Fruit fly,Other,Acetobacter,percisi,Acetobacter percisi
GCF_022643725v1_peroxydans_prokka,GCF_022643725v1_peroxydans,Other,Other,Acetobacter,peroxydans,Acetobacter peroxydans
G_361_1B_senegalensis_prokka,361_1B_senegalensis_annotated,Sourdough,Sourdough,Acetobacter,senegalensis,Acetobacter senegalensis
G_13_2A_senegalensis_prokka,C_13_2A_prokka,Sourdough,Sourdough,Acetobacter,senegalensis,Acetobacter senegalensis
GCF_021284605v1_sicerae_prokka,GCF_021284605v1_sicerae_prokka,Fruit fly,Other,Acetobacter,sicerae,Acetobacter sicerae
G_517_1B_acetobacter_prokka,517_1B_unknown_annotated,Sourdough,Sourdough,Acetobacter,sp.,Acetobacter sp.
SRR10454491C1008_acetobacter_prokka,SRR10454491C1008_annotated,Sourdough,Sourdough,Acetobacter,sp.,Acetobacter sp.
SRR10454511C706_acetobacter_prokka,SRR10454511C706_annotated,Sourdough,Sourdough,Acetobacter,sp.,Acetobacter sp.
GCF_017377745v1_suratthaniensis_prokka,GCF_017377745v1_suratthaniensis_prokka,Fruit,Other,Acetobacter,suratthaniensis,Acetobacter suratthaniensis
SRR10454494C1110_syzygii_prokka,SRR10454494C1110,Sourdough,Sourdough,Acetobacter,syzygii,Acetobacter syzygii
G_275_1B_tropicalis_prokka,275_tropicalis_annotated,Sourdough,Sourdough,Acetobacter,tropicalis,Acetobacter tropicalis
G_364_1_oxydans_prokka,C_364_1_oxydans_prokka,Sourdough,Sourdough,Gluconobacter,oxydans,Gluconobacter oxydans
GCF_001580625v1_oxydans_prokka,GCF_001580625v1_oxydans,Fruit,Other,Gluconobacter,oxydans,Gluconobacter oxydans
GCF_001580635v1_oxydans_prokka,GCF_001580635v1_oxydans,Fermented beverage,Other,Gluconobacter,oxydans,Gluconobacter oxydans
GCF_001580705v1_oxydans_prokka,GCF_001580705v1_oxydans,Fermented beverage,Other,Gluconobacter,oxydans,Gluconobacter oxydans
GCF_001580815v1_oxydans_prokka,GCF_001580815_oxydans,Fermented beverage,Other,Gluconobacter,oxydans,Gluconobacter oxydans
GCF_001581045v1_oxydans_prokka,GCF_001581045v1_oxydans_prokka,Fruit,Other,Gluconobacter,oxydans,Gluconobacter oxydans
GCF_024158465v1_oxydans_prokka,GCF_024158465v1_oxydans,Fermented beverage,Other,Gluconobacter,oxydans,Gluconobacter oxydans
GCF_030450005v1_oxydans_prokka,GCF_030450005v1_oxydans,Fruit,Other,Gluconobacter,oxydans,Gluconobacter oxydans
G_275_3_oxydans_prokka,C_275_3_oxydans_prokka,Sourdough,Sourdough,Gluconobacter,oxydans,Gluconobacter oxydans
GCF_004302915v1_xylinus_prokka,GCF_004302915v1_xylinus_prokka,Fermented beverage,Other,Komagataeibacter,xylinus,Komagataeibacter xylinus