asv_id,genus,species
ASV_106,Gluconobacter,albidus
ASV_11,Acetobacter,malorum_cerevisiae
ASV_111,Komagataeibacter,sp.
ASV_12,Acetobacter,oryzoeni_oryzifermentans_pasteurianus
ASV_121,Acetobacter,malorum_cerevisiae
ASV_123,Acetobacter,persici
ASV_19,Acetobacter,orientalis_sp. 521
ASV_198,Gluconobacter,japonicus
ASV_209,Komagataeibacter,maltaceti
ASV_24,Acetobacter,sp. (syzygii)
ASV_25,Acetobacter,fabarum
ASV_260,Acetobacter,okinawensis
ASV_28,Acetobacter,senegalensis
ASV_282,Acetobacter,tropicalis
ASV_29,Komagataeibacter,saccharivorans
ASV_311,Acetobacter,sp. 
ASV_38,Acetobacter,okinawensis
ASV_390,Acetobacter,suratthaniensis
ASV_54,Komagataeibacter,sucrofermentans
ASV_55,Acetobacter,sp. 517
ASV_578,Acetobacter,malorum_cerevisiae
ASV_600,Acetobacter,malorum_cerevisiae
ASV_629,Acetobacter,malorum_cerevisiae
ASV_631,Ameyamaea,sp.
ASV_67,Gluconobacter,oxydans
ASV_90,Gluconobacter,cerinus