,YL2_YL,YL2_A2,YL2_A4,YL2_A6,YL2_A7,YL2_A8,YL2_A10
"10,12-Tricosadiynoic acid",38475.1455,37833.1465,63711.09933,64742.3755,53785.0435,1936101.048,3106389.949
1-Butanol,79081.605,386184.1315,388902.8517,408260.5985,452093.1645,67789.458,52418.74767
"1-Dodecanol, 3,7,11-trimethyl-",177965.9995,30813.9705,59644.48633,90762.3935,48858.3835,105049.3897,48504.654
1-Monopalmitin,3275591.294,54520.797,73372.19767,59505.8335,46379.1755,66994.546,87509.14867
"2,3,5,8-Tetramethyldecane",46025.0425,203060.637,71310.08733,244764.245,236876.6645,152242.116,134638.33
"2,4,6-Trimethyldecane",43323.0825,795748.3685,77461.31033,836482.333,507926.64,389754.735,412086.0267
"2,4-Di-tert-butylphenol",879540.018,17345.857,289316.3403,64228.8665,211775.8,59252.15033,56608.16367
"2,6,10-Trimethyltetradecane",60994.674,917875.973,44771.67067,987222.585,552435.8685,546222.234,392978.507
"2,6,11,15-Tetramethylhexadecane",39025.877,1199721.406,49216.94733,1102475.784,1167175.33,494478.107,507199.2
"2,6,11-trimethyldodecane",54280.685,3956125.297,69595.028,3903755.094,2377254.348,1082739.917,1103995.887
"2,6-Bis(tert-butyl)phenol",33692.663,278506.402,61869.24767,299441.727,195877.9155,841417.5217,880411.114
"2,6-Dimethylundecane",219301.099,76468.9135,60613.20033,83055.5935,70489.602,76694.37133,48254.294
"2,7,10-trimethyldodecane",55213.321,907111.9385,37759.592,922231.912,1027212.453,347044.502,355045.5167
2-Hexadecanol,268854.7025,31763.1515,59578.48,140330.038,29883.416,149871.2963,131642.0307
2-Hydroxy-3-methylbutyric acid,75755.5235,52983.541,40812.97733,213725.986,20471.767,69698.60633,37067.65933
2-Methyl-1-hexadecanol ,180553.083,20949.031,179233.7127,77496.4405,319660.5555,85962.50467,59183.94567
2-Methyleicosane,74601.3725,1916518.795,40698.835,1993768.035,2092358.733,1052279.235,815075.9207
2-Methyloctadecane,740066.382,1141013.096,2298396.659,33643.7245,1165098.773,53945.33667,71208.41133
2-Methylundecane,241159.491,64362.0425,222198.479,57290.193,30154.759,48331.58367,69204.297
2-Myristynoyl pantetheine,52820.556,134049.0025,393492.6267,235819.8785,545035.788,143957.4917,38172.861
2-Vinyl-9-[3-deoxy-β-d-ribofuranosyl]hypoxanthine,59453.9915,22429.9185,26150.44733,58828.783,346032.91,238974.5543,252957.038
3-Ethyl-5-(2'-ethylbutyl)octadecane,22627.7175,268004.781,274187.802,325252.311,325896.7935,264689.56,614126.5237
3-Hydroxypropyl palmitate,58261.552,90442.5675,44006.378,60064.535,42523.409,5317111.495,6187275.545
4-Ethyl-1-octyn-3-ol,263251.3795,124499.5155,502695.72,120976.6155,133007.622,74350.861,131921.3377
4-Methyldecane,36519.259,442441.6775,25785.385,474162.832,275438.731,344648.5497,334998.1407
6-Methyloctadecane,253879.566,291724.644,51401.61533,482737.1895,304912.0635,208454.9903,340265.1547
6-Pentadecanol,81986.7335,87685.039,51863.58767,97037.2475,545382.929,48127.073,51662.41633
alpha-Ketoisovaleric acid,27043.8645,230503.5755,531830.4953,347027.4345,144457.357,92276.079,393411.3113
Benzoic Acid,224867.6055,119617.9665,138691.71,154097.03,117842.1375,78969.957,70025.89767
Butanedioic acid,42021.3955,905453.7625,1230862.178,966946.04,984459.1935,673954.5497,993550.4797
Citric acid,68242.6435,446556.96,712755.61,415924.551,1146413.118,369600.6143,974119.0703
"Cyclopropanetetradecanoic acid, 2-octyl-, methyl ester",517692.9575,1573959.459,1262223.594,1443901.969,1362829.573,48429.75933,19239.86333
Decanal,86977.131,1332191.132,1234534.614,1456526.672,1393087.842,45778.84033,37754.36833
Decane,54891.1675,464608.282,232052.625,509531.7005,452554.9125,219500.4643,101359.5517
D-Mannitol,692995.112,43920.5865,49539.979,58366.196,67113.3145,849744.7843,865793.3233
Dodecyl iodide,1118337.514,34603.23,3404045.228,42500.5015,65625.0585,62198.986,67432.19967
Ethyl iso-allocholate,46609.0065,65644.2235,56674.81833,26812.6215,10823.905,639181.247,590144.4773
Fumaric acid,28413.2155,401411.457,469656.8413,299161.3495,414540.1215,283964.897,502281.6167
Galactopyranose,550504.4355,76144.5205,1089129.841,32473.7265,72596.404,55131.24667,69913.60167
Glycerol monostearate,1996482.642,87021.43,20702.37967,54328.852,45899.6715,140523.9583,606925.4093
Heptacosane,422201.8855,124945.272,1835394.657,57322.899,52527.1485,37626.36033,50570.77767
Heptadecane,1205445.638,44359.8025,4049189.443,47234.321,2249510.65,48603.077,26618.25733
Hexadecane,46511.297,213707.265,41384.70767,221186.357,151770.656,285808.0003,293560.9707
Isocalamenediol,834658.9885,126284.694,60955.43,70094.054,88487.171,392996.6983,162978.373
Lactic Acid,1102032.556,46747.851,7098958.02,23703.5115,20316.7615,61220.89667,66702.46433
L-Arabitol,80943.5585,2259162.866,68108.06533,2328255.85,3290276.087,5516181.989,5714181.808
Malic acid,86716.431,397095.2795,1279367.811,105604.197,736392.0185,1571462.232,1921509.591
Melibiose,2185335.63,1748106.128,1424811.484,1664452.592,1977843.505,2388744.856,2367731.092
Myo-Inositol,10329347,30669.292,5569479.577,43728.329,45883.671,83270.61267,85138.69967
"N,N-Dimethylglycine",50041.0055,134788.4605,474102.0617,304384.846,665309.945,161309.2283,522701.8893
n-Hexadecanoic acid,2457935.175,547519.0095,80776.79033,71533.8735,86500.256,479014.341,45411.786
Nonadecane,299030.42,61776.157,236403.14,72631.021,146983.708,78200.68533,72400.59067
Octadecanoic acid,1040625.022,218880.1485,40164.31533,28923.721,37404.9915,290178.5647,78008.046
Palmitic Acid,16467772.07,70464.721,16515099.96,77716.053,75621.715,67982.14367,84467.41167
Pentadecane,181916.6095,103583.424,51834.23733,78182.634,72598.8105,138891.326,63071.15667
Phosphoric acid,699176.25,188282.983,47838.558,52889.384,82114.9805,277285.3777,44562.989
Pyrrole,21049.521,318391.358,321757.0967,324524.317,360961.601,59408.75033,58297.68033
Stearic acid,18404.8185,5448294.885,80550.97333,7145493.404,10060033.52,14911913.86,19962815.87
tert-Hexadecanethiol,23157.5265,474805.112,58769.134,62088.3955,272311.1905,69298.88,47828.04667
trans-2-undecenoic acid,56142.0855,804994.625,665738.293,717569.418,851844.695,46427.44233,38387.24767
Undecane,43522.5115,4519749.325,55412.57567,4748964.744,2778842.706,1146851.362,1124691.646
"Undecane, 4,8-dimethyl-",68040.9195,743095.263,26925.18433,683722.38,715707.095,578749.5757,488698.506
"β-D-Glucopyranose, 4-O-β-D-galactopyranosyl-",265306.5685,28831.5155,58419.72767,76842.968,61718.4965,117331.2793,29896.46867