SampleID,SampleOr,simpleID,simpleOr,YL_A
YL2_YL_A,YL2_YL,YL_A,YL,YL
YL2_YL_B,YL2_YL,YL_B,YL,YL
YL2_A2_A,YL2_A2,A2_A,A2,AAB
YL2_A2_B,YL2_A2,A2_B,A2,AAB
YL2_A4_A,YL2_A4,A4_A,A4,AAB
YL2_A4_B,YL2_A4,A4_B,A4,AAB
YL2_A4_C,YL2_A4,A4_C,A4,AAB
YL2_A6_A,YL2_A6,A6_A,A6,AAB
YL2_A6_C,YL2_A6,A6_C,A6,AAB
YL2_A7_A,YL2_A7,A7_A,A7,AAB
YL2_A7_B,YL2_A7,A7_B,A7,AAB
YL2_A8_A,YL2_A8,A8_A,A8,AAB
YL2_A8_B,YL2_A8,A8_B,A8,AAB
YL2_A8_C,YL2_A8,A8_C,A8,AAB
YL2_A10_A,YL2_A10,A10_A,A10,AAB
YL2_A10_B,YL2_A10,A10_B,A10,AAB
YL2_A10_C,YL2_A10,A10_C,A10,AAB